# Nuclear radii data extracted from  I. Angeli, K.P. Marinova, At. Data Nucl. Data Tables 99, 69 (2013)
1 1 1.133880424324658
1 2 2.7654392086369692
1 3 2.2709883347711557
2 3 2.5382241856594674
2 4 2.1630611988568424
2 6 2.667194531088174
2 8 2.483744219922816
3 6 3.3423846277770006
3 7 3.1551904327103086
3 8 3.0196360155930493
3 9 2.898282537411884
3 11 3.2042482217622696
4 7 3.4159713113549417
4 9 3.2520150163654944
4 10 3.0402919267728223
4 11 3.179719327236289
5 10 3.1341472231959155
5 11 3.1061326436583485
6 12 3.1890144872671873
6 13 3.1776537361183115
6 14 3.2307136079613534
7 14 3.3026219987559378
7 15 3.364073334515762
8 16 3.484523116582813
8 17 3.4769062493352716
8 18 3.579411208564895
9 19 3.7407855146568707
10 17 3.9263014169402055
10 18 3.8360609049735728
10 19 3.8835695006870505
10 20 3.880083815675464
10 21 3.8336080155209746
10 22 3.811661109892466
10 23 3.757310243600689
10 24 3.744787597447951
10 25 3.7846793259138876
10 26 3.776287861997105
10 28 3.826765744942675
11 20 3.836577302753067
11 21 3.8905408707102236
11 22 3.8538766283661268
11 23 3.8647209817355073
11 24 3.838771993315918
11 25 3.8431613744416198
11 26 3.863688186176519
11 27 3.8905408707102236
11 28 3.924623124156849
11 29 3.992013034380858
11 30 4.0253206911582415
11 31 4.092968800271998
12 24 3.9465700297853576
12 25 3.909647588551514
12 26 3.9164898591298134
13 27 3.951734007580301
14 28 4.031001066732679
14 29 4.024804293378748
14 30 4.045460204558521
15 31 4.1168521975736105
16 32 4.210061996772335
16 34 4.240529465762501
16 36 4.258345189155055
17 35 4.34471271777548
17 37 4.368725214521966
18 32 4.320700221028994
18 33 4.316827237682786
18 34 4.34471271777548
18 35 4.342388927767756
18 36 4.377116678438749
18 37 4.37750397677337
18 38 4.3929959101581995
18 39 4.401387374074982
18 40 4.4247543735971
18 41 4.4217850863650074
18 43 4.442828295879401
18 42 4.4350823291869865
18 44 4.447992273674345
18 46 4.438051616419079
19 38 4.423463379148364
19 39 4.434436831962619
19 40 4.438568014198573
19 41 4.4562546381462536
19 42 4.4561255387013805
19 43 4.46116041705145
19 44 4.462064113165565
19 45 4.467486289850256
19 46 4.461418615941197
19 47 4.458320229264231
20 39 4.466195295401519
20 40 4.489562294923637
20 41 4.490078692703132
20 42 4.52893762561008
20 43 4.512541996111135
20 44 4.5415893712076905
20 45 4.5112510016624
20 46 4.5124128966662616
20 47 4.490465991037753
20 48 4.48891679769927
20 50 4.540169277314081
21 42 4.609108380876573
21 43 4.592712751377628
21 44 4.574251530760707
21 45 4.577737215772293
21 46 4.5498517356796
22 44 4.662426451609361
22 45 4.639704949311612
22 46 4.656616976590051
22 47 4.642674236543704
22 48 4.637381159303887
22 49 4.613110463667654
22 50 4.60936657976632
23 51 4.647838214338647
24 50 4.723490489034566
24 52 4.705932964531758
24 53 4.7135498317793
24 54 4.761833024162019
25 50 4.792171393707311
25 51 4.780036045889194
25 52 4.738724223529648
25 53 4.73304384795521
25 54 4.755248952473466
25 55 4.784038128680275
25 56 4.7955279792740235
26 54 4.7680297975159505
26 56 4.82534995103982
26 57 4.8453603649952255
26 58 4.8728585467532985
27 59 4.889641474586864
28 58 4.874407740091781
28 60 4.921012639691144
28 61 4.934826280292617
28 62 4.95728958370062
28 64 4.9796237876637495
29 63 5.012027748327018
29 65 5.037718537856861
30 64 5.0714134929688655
30 66 5.09826617750257
30 67 5.103301055852639
30 68 5.119825784796459
30 70 5.143967380987817
31 69 5.160492109931636
31 71 5.179211529438305
32 70 5.217424965120885
32 72 5.238339075190405
32 73 5.245568644103326
32 74 5.25976958303942
32 76 5.2686774447356965
33 75 5.288946057580849
34 74 5.2543474063547295
34 76 5.344071520541867
34 77 5.344071520541867
34 78 5.345491614435477
34 80 5.344717017766235
34 82 5.344717017766235
35 79 5.374280790642285
35 81 5.370407807296078
36 72 5.3750553873115265
36 74 5.405393756856818
36 75 5.43469933084312
36 76 5.4247586735878555
36 77 5.4327628391700165
36 78 5.42708246359558
36 79 5.426566065816085
36 80 5.418303701344176
36 81 5.415979911336452
36 82 5.411719629655624
36 83 5.405522856301691
36 84 5.407201149085048
36 85 5.402295370179852
36 86 5.400875276286243
36 87 5.420111093572407
36 88 5.444252689763766
36 89 5.459099125924228
36 90 5.476785749871908
36 91 5.492277683256737
36 92 5.515644682778856
36 93 5.524681643920006
36 94 5.5515343284537115
36 95 5.559925792370494
36 96 5.58574568134521
37 76 5.457420833140871
37 77 5.468136087065378
37 78 5.471879970966712
37 79 5.45884092703448
37 80 5.457162634251124
37 81 5.449674866448457
37 82 5.442832595870157
37 83 5.429664452493051
37 84 5.422047585245511
37 85 5.426824264705832
37 86 5.4254041708122225
37 87 5.420756590796774
37 88 5.444123590318892
37 89 5.472654567635953
37 90 5.493697777150347
37 91 5.515515583333983
37 92 5.538753483411227
37 93 5.557472902917896
37 94 5.575030427420702
37 95 5.601754012509534
37 96 5.615954951445628
37 97 5.710197546203341
37 98 5.723752987915068
38 77 5.4956342688234505
38 78 5.494601473264463
38 79 5.497828959386302
38 80 5.494730572709336
38 81 5.492794081036232
38 82 5.483886219339955
38 83 5.480916932107863
38 84 5.473041865970574
38 85 5.461422915931952
38 86 5.461810214266572
38 87 5.454322446463905
38 88 5.453160551460043
38 89 5.474720158753931
38 90 5.501056445508141
38 91 5.517710273896833
38 92 5.541464571753572
38 93 5.554632715130677
38 94 5.575934123534817
38 95 5.590651460250406
38 96 5.618666039787973
38 97 5.631963282609951
38 98 5.729046065154885
